ID,biography,birthDate,contactDetails,culturalHeritage,deathDate,ethnicity,familyName,gender,individualName,occupation,sourceRecordLink,title,warning,workCount
Q1029261,Canadian academic (1870-1943),1870-10-22,,,1943-06-24,,Roy,man,Camille,Writer,http://www.wikidata.org/entity/Q1029261,,,
Q103559,Canadian writer,1858-01-01,,,1922-02-27,,Voss,man,John,Writer,http://www.wikidata.org/entity/Q103559,,,
Q104109,Canadian-American actress (1892-1979),1892-04-08,,,1979-05-29,,Pickford,woman,Mary,Writer,http://www.wikidata.org/entity/Q104109,,,
Q1066014,Canadian writer,1822-07-16,,,1893-12-09,,Sangster,man,Charles,Writer,http://www.wikidata.org/entity/Q1066014,,,
Q1095478,Canadian composer and educator,1866-10-19,,,1947-07-01,,Lucas,man,Clarence,Writer,http://www.wikidata.org/entity/Q1095478,,,
Q1096768,Canadian writer,1925-08-19,,,1971-07-07,,Gauvreau,man,Claude,Writer,http://www.wikidata.org/entity/Q1096768,,,
Q1116251,Canadian writer (1939-2001),1939-06-05,,,2001-02-25,,Wright,woman,L.,Writer,http://www.wikidata.org/entity/Q1116251,,,
Q1133777,Dutch Canadian painter (1815-1872),1815-06-19,,,1872-03-05,,Krieghoff,man,Cornelius,"Artist, Painter, Portraitist",http://www.wikidata.org/entity/Q1133777,,,
Q119386,Writer (1901-1993),1901-06-27,,,1993-11-21,,Viatte,man,Auguste,Writer,http://www.wikidata.org/entity/Q119386,,,
Q122347,Inuit artist,1927-10-03,,Inuit,2013-01-08,,Ashevak,woman,Kenojuak,"Artist, Sculptor, Postage Stamp Designer, Printmaker",http://www.wikidata.org/entity/Q122347,,,
Q1233847,Hungarian-Canadian writer,1933-05-12,,,2021-08-18,,Vizinczey,man,Stephen,Writer,http://www.wikidata.org/entity/Q1233847,,,
Q1245335,Canadian art historian,1918-11-28,,,2003-12-22,,Shadbolt,woman,Doris,Writer,http://www.wikidata.org/entity/Q1245335,,,
Q1250325,Canadian poet,1909-10-12,,,1996-12-29,,Livesay,woman,Dorothy,Writer,http://www.wikidata.org/entity/Q1250325,,,
Q1257757,Canadian poet,1893-02-24,,,1962-02-16,,Prewett,man,Frank,Writer,http://www.wikidata.org/entity/Q1257757,,,
Q1265363,Canadian politician,1862-08-02,,,1947-12-19,,Scott,man,Duncan,Writer,http://www.wikidata.org/entity/Q1265363,,,
Q1271755,Canadian writer (1925-2005),1925-02-10,,,2005-09-07,,Bayer,woman,Mary,Writer,http://www.wikidata.org/entity/Q1271755,,,
Q1272612,Canadian writer (1902-1982),1902-04-29,,,1982-11-27,,Wees,woman,Frances,Writer,http://www.wikidata.org/entity/Q1272612,,,
Q1276,Canadian poet and singer-songwriter,1934-09-21,,,2016-11-07,,Cohen,man,Leonard,Writer,http://www.wikidata.org/entity/Q1276,,,
